1
n03p009
start = 20
side = 20, cnt = 2541, no_opt = 0.100038, opt = 0.0533264, speedup = 1.87596
side = 40, cnt = 676, no_opt = 0.100057, opt = 0.0532795, speedup = 1.87797
side = 60, cnt = 302, no_opt = 0.100069, opt = 0.056438, speedup = 1.77308
side = 80, cnt = 162, no_opt = 0.100283, opt = 0.0549166, speedup = 1.82609
side = 100, cnt = 98, no_opt = 0.100108, opt = 0.0533582, speedup = 1.87614
side = 120, cnt = 65, no_opt = 0.100705, opt = 0.0587317, speedup = 1.71466
side = 140, cnt = 38, no_opt = 0.101667, opt = 0.0493569, speedup = 2.05983
side = 160, cnt = 26, no_opt = 0.101449, opt = 0.0469469, speedup = 2.16092
side = 180, cnt = 18, no_opt = 0.100478, opt = 0.0554991, speedup = 1.81043
side = 200, cnt = 16, no_opt = 0.104533, opt = 0.0584658, speedup = 1.78793
side = 220, cnt = 12, no_opt = 0.102969, opt = 0.0576811, speedup = 1.78515
side = 240, cnt = 9, no_opt = 0.100475, opt = 0.053618, speedup = 1.8739
side = 260, cnt = 8, no_opt = 0.107058, opt = 0.0554603, speedup = 1.93036
side = 280, cnt = 7, no_opt = 0.107965, opt = 0.0596745, speedup = 1.80924
side = 300, cnt = 6, no_opt = 0.106323, opt = 0.0585829, speedup = 1.81491
side = 320, cnt = 5, no_opt = 0.111726, opt = 0.0640014, speedup = 1.74567
side = 340, cnt = 5, no_opt = 0.12168, opt = 0.0649725, speedup = 1.87279
side = 360, cnt = 4, no_opt = 0.111024, opt = 0.0613658, speedup = 1.80921
side = 380, cnt = 4, no_opt = 0.122433, opt = 0.0699461, speedup = 1.75039
side = 400, cnt = 3, no_opt = 0.104514, opt = 0.0609144, speedup = 1.71575
side = 420, cnt = 3, no_opt = 0.119241, opt = 0.0677037, speedup = 1.76122
side = 440, cnt = 3, no_opt = 0.1341, opt = 0.0760166, speedup = 1.76409
side = 460, cnt = 3, no_opt = 0.144398, opt = 0.0823236, speedup = 1.75403
side = 480, cnt = 2, no_opt = 0.127994, opt = 0.0687147, speedup = 1.86269
side = 500, cnt = 2, no_opt = 0.137691, opt = 0.077287, speedup = 1.78156
side = 520, cnt = 2, no_opt = 0.133732, opt = 0.0687537, speedup = 1.94509
side = 540, cnt = 2, no_opt = 0.143052, opt = 0.0777753, speedup = 1.8393
side = 560, cnt = 1, no_opt = 0.108902, opt = 0.0501562, speedup = 2.17126
side = 580, cnt = 1, no_opt = 0.116345, opt = 0.0582235, speedup = 1.99825
side = 600, cnt = 1, no_opt = 0.126511, opt = 0.0581808, speedup = 2.17445
side = 620, cnt = 1, no_opt = 0.117097, opt = 0.0568818, speedup = 2.05861
side = 640, cnt = 1, no_opt = 0.127628, opt = 0.0664464, speedup = 1.92076
side = 660, cnt = 1, no_opt = 0.150712, opt = 0.0728315, speedup = 2.06933
side = 680, cnt = 1, no_opt = 0.159131, opt = 0.0799343, speedup = 1.99078
side = 700, cnt = 1, no_opt = 0.176286, opt = 0.0911768, speedup = 1.93345
side = 720, cnt = 1, no_opt = 0.165505, opt = 0.0841855, speedup = 1.96596
side = 740, cnt = 1, no_opt = 0.19408, opt = 0.0873947, speedup = 2.22073
side = 760, cnt = 1, no_opt = 0.201194, opt = 0.0900738, speedup = 2.23366
side = 780, cnt = 1, no_opt = 0.241492, opt = 0.109491, speedup = 2.20559
side = 800, cnt = 1, no_opt = 0.258131, opt = 0.119909, speedup = 2.15272
side = 820, cnt = 1, no_opt = 0.279491, opt = 0.133531, speedup = 2.09307
side = 840, cnt = 1, no_opt = 0.278917, opt = 0.143329, speedup = 1.94598
side = 860, cnt = 1, no_opt = 0.244412, opt = 0.123353, speedup = 1.9814
side = 880, cnt = 1, no_opt = 0.277219, opt = 0.145193, speedup = 1.90931
side = 900, cnt = 1, no_opt = 0.314447, opt = 0.151667, speedup = 2.07327
side = 920, cnt = 1, no_opt = 0.285801, opt = 0.160681, speedup = 1.77868
side = 940, cnt = 1, no_opt = 0.365625, opt = 0.179472, speedup = 2.03723
side = 960, cnt = 1, no_opt = 0.320746, opt = 0.180198, speedup = 1.77997
side = 980, cnt = 1, no_opt = 0.348208, opt = 0.19069, speedup = 1.82604
side = 1000, cnt = 1, no_opt = 0.399563, opt = 0.201235, speedup = 1.98556
side = 1020, cnt = 1, no_opt = 0.453616, opt = 0.233943, speedup = 1.939
side = 1040, cnt = 1, no_opt = 0.425919, opt = 0.237779, speedup = 1.79124
side = 1060, cnt = 1, no_opt = 0.476873, opt = 0.255304, speedup = 1.86786
side = 1080, cnt = 1, no_opt = 0.436099, opt = 0.235399, speedup = 1.85259
