side = 20, ath = 0.340963, cmp = 0.441989, gth = 0.421816, sct = 0.269155
side = 40, ath = 0.292671, cmp = 0.390323, gth = 0.371097, sct = 0.226548
side = 60, ath = 0.296999, cmp = 0.401152, gth = 0.380359, sct = 0.227598
side = 80, ath = 0.271388, cmp = 0.361001, gth = 0.343288, sct = 0.20999
side = 100, ath = 0.295641, cmp = 0.401448, gth = 0.380395, sct = 0.225815
side = 120, ath = 0.304331, cmp = 0.417649, gth = 0.394839, sct = 0.230719
side = 140, ath = 0.305304, cmp = 0.418609, gth = 0.395757, sct = 0.231491
side = 160, ath = 0.298318, cmp = 0.400858, gth = 0.380397, sct = 0.229071
side = 180, ath = 0.292427, cmp = 0.393782, gth = 0.373571, sct = 0.224275
side = 200, ath = 0.325362, cmp = 0.440111, gth = 0.417163, sct = 0.248792
side = 220, ath = 0.281095, cmp = 0.380217, gth = 0.360392, sct = 0.214937
side = 240, ath = 0.301338, cmp = 0.407617, gth = 0.386357, sct = 0.230399
side = 260, ath = 0.337506, cmp = 0.46281, gth = 0.437516, sct = 0.255791
side = 280, ath = 0.323669, cmp = 0.443154, gth = 0.419078, sct = 0.245563
side = 300, ath = 0.33273, cmp = 0.457196, gth = 0.432064, sct = 0.251867
side = 320, ath = 0.315782, cmp = 0.428062, gth = 0.405598, sct = 0.241127
side = 340, ath = 0.303683, cmp = 0.41676, gth = 0.393929, sct = 0.230033
side = 360, ath = 0.312146, cmp = 0.429138, gth = 0.405499, sct = 0.236188
side = 380, ath = 0.317277, cmp = 0.437338, gth = 0.413032, sct = 0.239665
side = 400, ath = 0.318557, cmp = 0.435597, gth = 0.412018, sct = 0.241842
side = 420, ath = 0.29578, cmp = 0.401028, gth = 0.379971, sct = 0.225816
side = 440, ath = 0.29386, cmp = 0.400102, gth = 0.37878, sct = 0.22373
side = 460, ath = 0.333727, cmp = 0.451935, gth = 0.428294, sct = 0.254967
side = 480, ath = 0.300534, cmp = 0.41076, gth = 0.388576, sct = 0.22824
side = 500, ath = 0.311914, cmp = 0.427016, gth = 0.403812, sct = 0.236616
side = 520, ath = 0.345032, cmp = 0.470625, gth = 0.445388, sct = 0.262377
side = 540, ath = 0.326486, cmp = 0.449334, gth = 0.424481, sct = 0.246837
side = 560, ath = 0.296657, cmp = 0.400976, gth = 0.38014, sct = 0.22692
side = 580, ath = 0.321228, cmp = 0.436744, gth = 0.413577, sct = 0.244774
side = 600, ath = 0.32473, cmp = 0.445549, gth = 0.421146, sct = 0.24597
side = 620, ath = 0.302808, cmp = 0.410572, gth = 0.389003, sct = 0.231152
